"volcano_name","xmin","xmax","ymin","ymax"
"Cereme",-230009.526610759,333756.821375613,9027387.53256381,9361840.37921757
"DiengVolcanicComplex",-52611.4749836016,504550.963044642,8999326.18096337,9328459.87240179
"Galunggung",-249553.760552153,294693.91699587,8992091.90570152,9319470.35991789
"Gede-Pangrango",279987.20658268,836851.100058815,9040075.95739017,9374713.23612037
"Guntur",390172.291219456,934292.216838822,9003730.09482359,9331716.70943359
"Kelut",219147.490455121,769332.343719012,8924845.85513465,9245163.20637218
"Lokon-Empung",279983.114775558,790120.298985522,-39973.1159794086,290808.564545513
"Mayon",74206.747882796,706847.729138931,1294904.1145601,1660486.91714144
"Merapi",-5758.11473435108,562677.302370369,8956624.62841987,9286933.30901341
"Papandayan",368631.087595025,923417.592083185,8981741.0730935,9312724.74617818
"Taal",-159428.797069327,426930.204167083,1387635.10146886,1731419.09151914
"Agung",-108529.031208577,475539.481282322,8874654.29117412,9201181.78125644
"Bulusan",134724.917685874,721572.754436297,1242901.74865867,1599936.42342604
"Gamalama",-103788.970753413,409448.458210907,-103146.293487412,228258.32372726
"Lamongan",337240.098979192,881773.277728712,8921240.35595862,9240502.93349238
"Pinatubo",-266119.292700111,436200.381803813,1512500.3866639,1871577.21231343
"Ranakah",-203025.614121869,366589.733114207,8857279.07124992,9177781.46682362
"Rinjani",-30814.0336892762,586227.942668876,8865300.17415593,9194276.6699255
"Semeru",243005.766587399,840052.970827749,8892695.34730308,9227646.28934751
"Sinabung",-33756.8394830422,532061.217280116,152908.027277198,510604.292842915
"Soputan",271801.582547038,785224.028197107,-69560.5682524456,263787.949464924
"TenggerCaldera",279677.212390469,838738.828764635,8919218.12480784,9244770.24435766
"Camiguin",199886.184297054,746804.357913055,843841.378597082,1187946.91484697
"Iya",-44643.2908711296,483958.999966046,8837294.74428937,9146299.04244365
"Parker",242402.930166727,770619.308858802,494142.574587028,831373.283234975
"Raung",-274107.070128053,311532.374122525,8895967.8525138,9226592.47017617
"Tangkoko-Duasudara",325868.037690482,831870.995987035,-20008.1467952055,307591.980007185
"Awu",330437.425336542,842941.808293072,222070.198610711,552890.396062442
"BandaApi",224830.35233474,716670.47743546,9323267.9969254,9638383.91483702
"Dukono",-40130.5754619634,465842.536542485,510.141647101275,328394.079292728
"Gamkonora",-85629.2773929012,426297.290078905,-36934.3623747755,293334.344580919
"Iliwerung",161075.733924821,691161.906743994,8878937.28309663,9192306.97372671
"Karangetang",330002.403088909,847212.263075012,117259.67209298,453416.60890558
"Krakatau",174768.145138513,661804.745856691,9130734.81809768,9447934.59641359
"Leroboleng",78817.1851870028,608259.423097799,8895585.50256488,9208963.82822737
"Lewotobi",62827.128178407,610585.093694303,8872997.89920487,9189606.23662045
"Lewotolo",145644.500948682,683445.702290701,8905879.98001469,9221528.10381527
"Paluweh",-40792.5007828497,484081.437809302,8900599.55956161,9212624.47653409
"Suoh",35840.8963284633,532983.964485442,9214570.81318569,9542231.16531139
"Tambora",163326.079390257,748697.542186068,8891325.91782558,9213701.84125913
